Sales_ID,name,year,selling_price,km_driven,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,Region
1,Maruti Swift Dzire VDI,2014,450000,145500,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,23,1248,74,5,Y,East
38,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,Y,East
66,Ford Figo 1.2P Titanium MT,2017,600000,25000,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,18.1,1196,86.8,5,Y,East
68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,22,1498,108.495,5,Y,East
69,Honda City i DTEC VX,2015,630000,135000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,25,1498,98.6,5,Y,East
70,Maruti Wagon R AMT VXI,2018,448000,30000,District of Columbia,Washington,Petrol,Individual,Automatic,First Owner,20.5,998,67,5,Y,East
101,Maruti Wagon R VXI,2009,185000,77000,District of Columbia,Washington,Petrol,Dealer,Manual,Second Owner,21.7,998,67.05,5,Y,East
102,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,18,1248,90,5,Y,East
103,Maruti Swift VXI,2019,615000,10000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,21.2,1197,81.8,5,Y,East
121,Nissan Terrano XL 85 PS,2014,400000,70000,District of Columbia,Washington,Diesel,Individual,Manual,Third Owner,20.4,1461,83.8,5,Y,East
130,Maruti Ertiga VDI,2015,700000,110000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,20.7,1248,88.76,7,Y,East
131,Honda Amaze S i-VTEC,2019,690000,1303,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,17,1198,86.7,5,Y,East
145,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,District of Columbia,Washington,Petrol,Dealer,Automatic,First Owner,14.2,1798,138.03,5,Y,East
146,Volvo XC40 D4 R-Design,2018,3400000,22000,District of Columbia,Washington,Diesel,Dealer,Automatic,First Owner,18,1969,190,5,Y,East
150,BMW 5 Series 523i,2010,975000,72200,District of Columbia,Washington,Petrol,Dealer,Automatic,Second Owner,10,2497,150,5,Y,East
151,Hyundai Elantra S,2016,805000,49900,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,16,1797,147.5,5,Y,East
154,Volkswagen Vento Petrol Highline,2011,375000,49000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,15,1598,103.6,5,Y,East
168,BMW 5 Series 520d Luxury Line,2016,2900000,12000,District of Columbia,Washington,Diesel,Dealer,Automatic,First Owner,18.1,1995,190,5,Y,East
176,Maruti Wagon R AMT VXI,2015,390000,50000,District of Columbia,Washington,Petrol,Individual,Automatic,Second Owner,20.5,998,67,5,Y,East
178,Maruti 800 Std,1999,40000,40000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,16,796,37,4,Y,East
179,Maruti Ritz VDi,2010,220000,120000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,21,1248,73.9,5,Y,East
238,Renault KWID RXT,2016,270000,44000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,25.1,799,53.3,5,Y,East
239,Maruti Ertiga VDI,2015,640000,80000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,20.7,1248,88.76,7,Y,East
241,Maruti Eeco 5 Seater AC BSIV,2017,409999,13500,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,15.3,1196,73,5,Y,East
242,Hyundai Santro Xing GLS,2011,165000,75000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17.9,1086,62.1,5,Y,East
282,Honda Brio Exclusive Edition,2014,335000,33033,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,19,1198,86.8,5,Y,East
283,Hyundai Grand i10 AT Asta,2015,465000,63063,District of Columbia,Washington,Petrol,Dealer,Automatic,First Owner,18,1197,82,5,Y,East
288,Mahindra Bolero DI DX 7 Seater,2007,210000,207890,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,13,2523,63,7,Y,East
318,Renault KWID RXL,2016,229999,40000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,25.1,799,53.3,5,Y,East
319,Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,800000,160000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,12.9,2494,100.6,8,Y,East
347,Hyundai Creta 1.6 CRDi AT SX Plus,2017,1100000,67000,District of Columbia,Washington,Diesel,Individual,Automatic,First Owner,17,1582,126.2,5,Y,East
348,Maruti Swift VXI BSIV,2018,610000,52000,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,22,1197,81.8,5,Y,East
358,Renault Duster 85PS Diesel RxL,2014,570000,40000,District of Columbia,Washington,Diesel,Dealer,Manual,First Owner,20.4,1461,83.8,5,Y,East
441,Mahindra Verito 1.5 D2 BSIII,2011,229999,170000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,21,1461,64.1,5,Y,East
442,Maruti 800 AC BSIII,2004,81000,80000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,16,796,37,4,Y,East
483,Hyundai Verna 1.6 CRDi S,2015,560000,119000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,23,1582,126.2,5,Y,East
484,Maruti Ertiga SHVS VDI,2016,750000,80000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,24.5,1248,88.5,7,Y,East
485,Maruti Swift VDI BSIV,2017,585000,90000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,25,1248,74,5,Y,East
491,Honda Brio 1.2 S MT,2016,425000,22000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18,1198,86.8,5,Y,East
524,Tata Tiago 1.2 Revotron XZ,2017,425000,42000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,23.8,1199,84,5,Y,East
525,Chevrolet Sail 1.2 LS ABS,2016,400000,30000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18,1199,82.4,5,Y,East
538,Maruti Alto LXi,2009,130000,70000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,19,796,46.3,5,Y,East
564,Hyundai Santro Sportz AMT BSIV,2019,466000,25000,District of Columbia,Washington,Petrol,Individual,Automatic,Fourth & Above Owner,20,1086,68,5,Y,East
664,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,District of Columbia,Washington,Petrol,Dealer,Automatic,First Owner,14,1598,103.5,5,Y,East
665,Volvo V40 D3 R-Design,2018,2475000,2000,District of Columbia,Washington,Diesel,Dealer,Automatic,First Owner,16,1984,150,5,Y,East
668,Hyundai i10 Asta,2008,275000,98000,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,20.3,1197,78.9,5,Y,East
802,Maruti Wagon R VXI BS IV,2015,430000,5000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,20.5,998,67.04,5,Y,East
803,Maruti Swift VXI Optional,2017,573000,30000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,20,1197,81.8,5,Y,East
804,Hyundai EON D Lite Plus,2015,210000,40000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,21,814,55.2,5,Y,East
811,Maruti Ertiga ZXI,2013,500000,60000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,16,1373,93.7,7,Y,East
886,Chevrolet Sail 1.2 LS ABS,2015,371000,40000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18,1199,82.4,5,Y,East
895,Mahindra Bolero SLX,2010,421000,120000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,13,2523,63,7,Y,East
896,Tata Indigo CS LX (TDI) BS III,2012,204999,120000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,19,1396,69,5,Y,East
898,Honda City 2017-2020 GXi,2006,165000,110000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,17,1497,78,5,Y,East
909,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,580000,32000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18,1197,81.86,5,Y,East
910,Hyundai i20 Sportz 1.2,2013,340000,70000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18,1197,82.85,5,Y,East
916,Maruti Eeco Smiles 7 Seater Standard,2013,204999,100000,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,15,1196,73,7,Y,East
917,Datsun GO Plus Anniversary Edition,2017,300000,60000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,20.6,1198,67,7,Y,East
960,Mahindra XUV500 W6 2WD,2015,850000,90000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,15,2179,140,7,Y,East
979,Hyundai i20 Asta Option 1.4 CRDi,2015,650000,80000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,22.5,1396,88.73,5,Y,East
